# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.66 S=1/2
# k, omega, N(k,omega)

0.025 1.2 7.92946e-06
0.025 1.25 1.79409e-05
0.025 1.3 1.36556e-05
0.025 1.35 9.7913e-06
0.025 1.4 3.42106e-05
0.025 1.45 3.43751e-06
0.025 1.5 5.3378e-05
0.025 1.55 6.27187e-05
0.025 1.6 3.62198e-05
0.025 1.65 3.76053e-05
0.025 1.7 7.45177e-05
0.025 1.75 1.80477e-05
0.025 1.8 3.46146e-05
0.025 1.85 5.58131e-05
0.025 1.9 0.000121441
0.025 1.95 0.000138568
0.025 2 5.52164e-06
0.025 2.05 5.97119e-05
0.025 2.1 9.42088e-06
0.025 2.15 2.61141e-05
0.025 2.2 6.8985e-05
0.025 2.25 1.9235e-05
0.025 2.3 0.000150321
0.025 2.35 0.000111766
0.025 2.4 0.000163723
0.025 2.45 2.93347e-05
0.025 2.5 0.000171519
0.025 2.55 0.000159101
0.025 2.6 8.41758e-05
0.025 2.65 7.48952e-05
0.025 2.7 0.000170637
0.025 2.75 0.000128319
0.025 2.8 0.000109499
0.025 2.85 7.62503e-05
0.025 2.9 0.000216389
0.025 2.95 9.8347e-05
0.025 3 0.000338598
0.025 3.05 0.000134425
0.025 3.1 4.31866e-05
0.025 3.15 0.000437468
0.025 3.2 2.83081e-05
0.025 3.25 0.00014819
0.025 3.3 0.000220971
0.025 3.35 0.000102927
0.025 3.4 6.43506e-05
0.025 3.45 0.000108113
0.025 3.5 0.000748799
0.025 3.55 8.17692e-05
0.025 3.6 3.63352e-05
0.025 3.65 0.000126714
0.025 3.7 7.07355e-05
0.025 3.75 2.50795e-05
0.025 3.8 0.000501787
0.025 3.85 0.000212919
0.025 3.9 1.31018e-05
0.025 3.95 0.000344441
0.025 4 6.1355e-05
0.025 4.05 2.7057e-05
0.025 4.1 1.24423e-05
0.025 4.15 8.07376e-06
0.025 4.2 1.27139e-05
0.025 4.25 2.41529e-06
0.025 4.3 3.28947e-06
0.025 4.35 3.37697e-06
0.025 4.4 1.10839e-05
0.025 4.45 2.23738e-06
0.025 4.5 7.82632e-06
0.025 4.55 1.5639e-06
0.025 4.6 4.82078e-06
0.025 4.65 9.51696e-06
0.025 4.7 1.706e-06
0.025 4.75 3.05255e-06
0.025 4.8 1.61266e-06
0.025 4.85 1.03015e-06
0.025 4.9 1.68904e-06
0.025 4.95 3.65726e-06
0.025 5 4.2285e-06
0.03 0 0.000571913
0.03 0.05 0.000936069
0.03 0.1 0.00152938
0.03 0.15 0.00205293
0.03 0.2 0.00179835
0.03 0.25 0.00115302
0.03 0.3 0.000702362
0.03 0.35 0.000447228
0.03 0.4 0.000301928
0.03 0.45 0.000215968
0.03 0.5 0.000160234
0.03 0.55 0.000113193
0.03 0.6 9.20582e-05
0.03 0.65 6.74277e-05
0.03 0.7 6.47133e-05
0.03 0.75 5.83983e-05
0.03 0.8 4.7972e-05
0.03 0.85 3.89669e-05
0.03 0.9 3.34917e-05
0.03 0.95 2.52368e-05
0.03 1 2.87112e-05
0.03 1.05 2.36918e-05
0.03 1.1 9.51014e-06
0.03 1.15 2.27299e-05
0.03 1.2 1.07527e-05
0.03 1.25 1.75481e-05
0.03 1.3 2.86575e-05
0.03 1.35 2.02214e-06
0.03 1.4 3.67801e-05
0.03 1.45 1.68373e-05
0.03 1.5 4.60153e-05
0.03 1.55 5.94333e-05
0.03 1.6 4.53014e-05
0.03 1.65 3.73721e-05
0.03 1.7 7.2394e-05
0.03 1.75 1.9415e-05
0.03 1.8 2.56061e-05
0.03 1.85 5.0261e-05
0.03 1.9 0.000109195
0.03 1.95 0.000139779
0.03 2 1.94939e-05
0.03 2.05 3.73876e-05
0.03 2.1 1.02316e-05
0.03 2.15 1.39126e-05
0.03 2.2 4.07864e-05
0.03 2.25 5.13765e-06
0.03 2.3 0.000137065
0.03 2.35 0.000104475
0.03 2.4 0.000171788
0.03 2.45 3.42278e-05
0.03 2.5 0.000159739
0.03 2.55 0.000166746
0.03 2.6 7.62096e-05
0.03 2.65 0.000115145
0.03 2.7 0.000158895
0.03 2.75 0.000144699
0.03 2.8 0.000103699
0.03 2.85 0.000113427
0.03 2.9 0.000209216
0.03 2.95 0.000117457
0.03 3 0.000327877
0.03 3.05 0.000112641
0.03 3.1 7.29368e-05
0.03 3.15 0.000441125
0.03 3.2 4.34382e-05
0.03 3.25 0.000121614
0.03 3.3 0.000198908
0.03 3.35 0.000120236
0.03 3.4 2.43777e-05
0.03 3.45 9.10333e-05
0.03 3.5 0.000690561
0.03 3.55 7.18449e-05
0.03 3.6 8.38296e-05
0.03 3.65 0.000161268
0.03 3.7 6.1846e-05
0.03 3.75 3.90524e-05
0.03 3.8 0.000498666
0.03 3.85 0.000215669
0.03 3.9 3.28864e-05
0.03 3.95 0.000311401
0.03 4 4.98276e-05
0.03 4.05 2.07815e-05
0.03 4.1 1.91107e-05
0.03 4.15 5.72258e-06
0.03 4.2 6.05986e-06
0.03 4.25 9.72531e-07
0.03 4.3 4.23558e-06
0.03 4.35 5.47365e-06
0.03 4.4 1.13249e-05
0.03 4.45 1.79608e-06
0.03 4.5 3.53637e-07
0.03 4.55 6.3742e-06
0.03 4.6 2.2318e-06
0.03 4.65 7.84282e-06
0.03 4.7 3.61689e-06
0.03 4.75 3.51557e-06
0.03 4.8 4.3816e-06
0.03 4.85 9.86982e-07
0.03 4.9 5.70739e-07
0.03 4.95 2.48807e-06
0.03 5 3.36412e-06
