# generalized Kondo-Heisenberg model
# U/W=1.3 Jh/U=0.25 n=1.5 L=48
# density-of-states DOS(omega)
# omega-Ef, DOS(omega)

1.09325 5.203900249126472942e-03
1.11325 4.941351703914968925e-03
1.13325 4.724638791154527930e-03
1.15325 4.550271442187248452e-03
1.17325 4.285752234113601213e-03
1.19325 4.166626975428028810e-03
1.21325 3.947166451601214973e-03
1.23325 3.846469260753305162e-03
1.25325 3.635172522355488173e-03
1.27325 3.545148041503045928e-03
1.29325 3.436584943139065016e-03
1.31325 3.248870051536733704e-03
1.33325 3.202785934091598001e-03
1.35325 3.041030192368554801e-03
1.37325 3.040381194331703493e-03
1.39325 2.917813430218181830e-03
1.41325 2.826284321075299682e-03
1.43325 2.775423481667566895e-03
1.45325 2.666286264688611657e-03
1.47325 2.591005055714618206e-03
1.49325 2.523096824560238944e-03
1.51325 2.401694840334598572e-03
1.53325 2.302104163081036218e-03
1.55325 2.268027106733883167e-03
1.57325 2.140147948876886148e-03
1.59325 2.089700722259767076e-03
1.61325 2.058924457267811894e-03
1.63325 1.956243271571814386e-03
1.65325 1.905721152510123214e-03
1.67325 1.901044722677154835e-03
1.69325 1.798908979617586590e-03
1.71325 1.740965087776265774e-03
1.73325 1.731336190345307644e-03
1.75325 1.673643119986935367e-03
1.77325 1.582294916723087780e-03
1.79325 1.531481555897758499e-03
1.81325 1.520804368265011534e-03
1.83325 1.438987503983614902e-03
1.85325 1.342614667846976292e-03
1.87325 1.302048519930365782e-03
1.89325 1.257062200639686052e-03
1.91325 1.167999099765679519e-03
1.93325 1.115996298982674080e-03
1.95325 1.060434115152379458e-03
1.97325 1.015957595376747961e-03
1.99325 9.688398675648911143e-04
2.01325 9.273937358662882489e-04
2.03325 9.242804311929531764e-04
2.05325 9.352988319329685754e-04
2.07325 8.899245925474090881e-04
2.09325 8.509672588372367997e-04
2.11325 8.480379040983333609e-04
2.13325 8.448606742616522744e-04
2.15325 8.585334967343347373e-04
2.17325 8.287105886543085376e-04
2.19325 8.026585500485718333e-04
2.21325 7.967080761371492410e-04
2.23325 7.909734447448362729e-04
2.25325 7.682940806106655900e-04
2.27325 7.428787325079978191e-04
2.29325 7.476750427771622918e-04
2.31325 7.441097810674535129e-04
2.33325 7.348687516405870770e-04
2.35325 7.173871310889301783e-04
2.37325 6.944325246594728034e-04
2.39325 6.855493101079570325e-04
2.41325 6.798930460498380868e-04
2.43325 6.836216731510992399e-04
2.45325 6.724598881774552280e-04
2.47325 6.306393919262081801e-04
2.49325 6.110904019653176991e-04
2.51325 6.162767919265957177e-04
2.53325 6.115946201695251355e-04
2.55325 6.035729568577819469e-04
2.57325 5.939735341307786961e-04
2.59325 5.728218538866616241e-04
2.61325 5.502803773228083029e-04
2.63325 5.461038671188492028e-04
2.65325 5.623971839431334734e-04
2.67325 5.648214447014630098e-04
2.69325 5.599137664989680199e-04
2.71325 5.483252917765861880e-04
2.73325 5.332460733865343949e-04
2.75325 5.347845303025883625e-04
2.77325 5.561678051029246388e-04
2.79325 5.633634105352615948e-04
2.81325 5.570163195378885750e-04
2.83325 5.404834404373391830e-04
2.85325 5.278830088374848219e-04
2.87325 5.143677653380379026e-04
2.89325 5.232394537175838987e-04
2.91325 5.115267251033011817e-04
2.93325 4.850804069857047240e-04
2.95325 4.595037597593901613e-04
2.97325 4.435404923354682098e-04
2.99325 4.276789875206977228e-04
3.01325 4.338298416691254507e-04
3.03325 4.206683662419712305e-04
3.05325 3.905199439157738643e-04
3.07325 3.668486116586274696e-04
3.09325 3.442299897236378845e-04
3.11325 3.193781684424761035e-04
3.13325 3.033541599045973584e-04
3.15325 2.918014672123630973e-04
3.17325 2.801096476231578034e-04
3.19325 2.657829251534700519e-04
3.21325 2.493851825785206870e-04
3.23325 2.339630244886380691e-04
3.25325 2.183605693307999419e-04
3.27325 2.051065112105747239e-04
3.29325 1.923342950456299416e-04
3.31325 1.840380253802977734e-04
3.33325 1.815848021440904776e-04
3.35325 1.728537827658719976e-04
3.37325 1.706837890790422385e-04
3.39325 1.639535942141882375e-04
3.41325 1.566190593957830909e-04
3.43325 1.477338697352392218e-04
3.45325 1.414928051950237544e-04
3.47325 1.344268287727279256e-04
3.49325 1.306509824577778694e-04
3.51325 1.273969219651358530e-04
3.53325 1.252895338083671374e-04
3.55325 1.223757846012343310e-04
3.57325 1.191906510727674246e-04
3.59325 1.153440676387747883e-04
3.61325 1.116071212046518556e-04
3.63325 1.078097082184315426e-04
3.65325 1.056458384548130617e-04
3.67325 1.034973777972865124e-04
3.69325 1.012383750624566058e-04
3.71325 1.005034673794636459e-04
3.73325 9.871782231289216031e-05
3.75325 9.717709510668052814e-05
3.77325 9.541240790029978706e-05
3.79325 9.317299238681314212e-05
3.81325 9.103772806213236788e-05
3.83325 8.909933110197155960e-05
3.85325 8.767761940783796244e-05
3.87325 8.637508926516765774e-05
3.89325 8.479213596429903443e-05
3.91325 8.348946365718770311e-05
3.93325 8.238704244533755076e-05
3.95325 8.146556509538832298e-05
